url,title,address,region,contact_person,telephone,mobile,fax,price_purchase,estimated_monthly_rate,rooms,living_area_m2,furnishing,flat_type,floor,floor_total,bedrooms,commission_buyer_rate,maintenance_cost,construction_year,object_state,heating_type,energy_efficiency_class,location,other_information
https://www.immobilienscout24.de/expose/121085947#/,Renditeobjekt mit langfristigen Mieter der Polizei Hochschule," Sperbarstraße 11,","78048 Villingen-Schwenningen, Schwarzwald-Baar-Kreis",Frau Irene Zerr,[],['0174 5494485'],[], 70.265 € ,, 1 ," 27,11 m² ",['Personenaufzug'],,0,0,,"3000,00",,1993,, Zentralheizung ,,"Villingen-Schwenningen liegt im Südwesten Baden-Württembergs mit 85.000 Einwohnern. Sie ist eine Doppelstadt ein Oberzentrum und Hochschulstandort sowie die Kreisstadt und größte Stadt des Schwarzwald-Baar-Kreises. 

Die Wohnanlage befindet sich in Villingen. In ca. 15 Gehminuten erreicht man die Stadtmitte mit zahlreichen Geschäften, Ärzte, Bäcker und Kino. Der Bahnhof und Busbahnhof ist in 10 min zu erreichen. Direkt an der Wohnanlage grenzt eine Bushaltestelle.","zwei Betten, zwei Schreibtische, zwei Schränke und eine Kochnische."
https://www.immobilienscout24.de/expose/121085232#/,"Hilzingen: 1,5 -2 Zimmer Maisonettewohnung mit Balkon und EBK als Kapitalanlage",,"78247 Hilzingen, Konstanz (Kreis)", Philipp Zimmermann,[],[],[], 148.000 € ,," 1,5 "," 30,68 m² ","['Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Vermietet']", Etagenwohnung ,2,3,,"3,48% inkl. 16% Mehrwertsteuer",,1994, Gepflegt , Zentralheizung , E ,"Die Objekt befindet sich in ruhiger Wohnlage in einem gewachsenen Wohngebiet von ""Hilzingen-Twielfeld"".
Umrahmt von den Hegaubergen, in der malerischen Landschaft zwischen Bodensee, Schwarzwald und Alpen liegt die Gemeinde ""Hilzingen"". 
Beste Infrastruktur mit diversen Einkaufsmöglichkeiten, Schulen, Ärzte, öffentliche Verkehrsmittel etc. ist im Ort gegeben.

Durch den direkten Anschluss an die Autobahn A 81 und die B 314 kommen Sie schnell Richtung Stuttgart, Konstanz und die Schweiz.
Das Bodenseeufer ist in wenigen Autominuten zu erreichen.","Die Wohnung ist im Wohnbereich mit Laminatboden ausgestattet, auf der Galerie wurde Teppich verlegt.
Die vorhandene Einbauküche mit Elektrogeräten ist im Kaufpreis enthalten.
Das innenliegende Badezimmer ist mit einer Dusche ausgestattet.
Vom Wohnzimmer gelangen Sie auf einen überdachten Südbalkon."
https://www.immobilienscout24.de/expose/121084972#/,6-7 Zimmer Dachgeschosswohnung / 360° Rundgang möglich,,"77709 Wolfach, Ortenaukreis",Herr Christoph Bauernschmid,['07832 701245'],['01512 0084038'],['07832 701249'], 148.000 € ,, 6 , 104 m² ,"['Garten/ -mitbenutzung', 'Einbauküche', 'Keller']", Dachgeschoss ,2,2, 5 ,"3,57 % inkl. ges. MwSt.",,1958, Gepflegt , Etagenheizung ,,"Wolfach liegt im Mittleren Schwarzwald am Zusammenfluss von Wolf und Kinzig. Die Kreisstadt Offenburg erreicht man 40km kinzigabwärts, zum Autobahnanschluss Rottweil (A81) ist es dieselbe Entfernung. Wolfach hat mit den beiden Stadtteilen Kirnbach und Kinzigtal rund 5.800 Einwohner. Die Höhenlage reicht von 250 bis 880 m ü.d.M.. Wolfach verfügt über die wichtigsten Einrichtungen der gängigen Infrastruktur wie Kindergärten, Grund-, Haupt- und Realschule, Gewerblichen Schulen, Seniorenheim. Einkaufsmöglichkeiten zur Deckung des täglichen Bedarfs sind vorhanden.",Schwedenofen
https://www.immobilienscout24.de/expose/121082069#/,2 Tiefgaragenstellplätze (Doppelparker) in Zentrumslage von Tettnang,,"88069 Tettnang, Bodenseekreis",Herr Gero Leimenstoll,['07542 989114'],[],[], 24.000 € ,, 1 , 1 m² ,[],,0,0, 1 ,"3,48 %", 44 € ,1995,,,,Die beiden Tiefgaragenstellplätze im Doppelparker befinden sich in sehr zentraler Lage von Tettnang. Die Karlstraße und die Montfortstraße befinden sich in nächster Nähe.,Die beiden Tiefgaragenstellplätze im Doppelparker befinden sich in sehr zentraler Lage von Tettnang. Die Karlstraße und die Montfortstraße befinden sich in nächster Nähe.
https://www.immobilienscout24.de/expose/121077045#/,Vermietete 1-Zimmer-Dachgeschosswohnung,,"71332 Waiblingen, Rems-Murr-Kreis",Frau Farina Luithardt,['07151 5055252'],[],['07151 5055250'], 110.000 € ,, 1 , 36 m² ,"['Einbauküche', 'Vermietet']", Dachgeschoss ,2,0,,"4,76 % inkl. ges. MwSt.",,1957, Renovierungsbedürftig , Ofenheizung , C ,,
https://www.immobilienscout24.de/expose/120998565#/,Singlewohnung im Stadtzentrum,,"78532 Tuttlingen, Tuttlingen (Kreis)",Herr Lutz Müller,['07461 9657117'],['0176 10205318'],['07461 9657121'], 86.000 € ,, 1 , 37 m² ,"['Einbauküche', 'Vermietet']", Dachgeschoss ,0,0, 1 ,"3,57 % inkl. ges. MwSt.", 180 € ,1927, Gepflegt , Zentralheizung ,,,Die Wohnung ist aktuell noch vermietet und wird zum 01.09.2020 frei.
https://www.immobilienscout24.de/expose/120963997#/,"**Gemütliche 2 Zimmer Wohnung mit Balkon, Garten zum mitbenutzen, Garage und Separatem Eingang**",,"76332 Bad Herrenalb / Oberes Gaistal, Bad Herrenalb",Firma SIG Immobiliengesellschaft mbH,['07231 2815234'],[],['07231 2815235'], 99.000 € ,, 2 ," 64,02 m² ",[], Hochparterre ,0,0, 1 ,"4,64% Inkl. 16 % Mwst", 150 € ,1923, Gepflegt ,,,"Gaistal liegt südlich von Bad Herrenalb im Tal des Gaisbachs. Die vier Weiler Unteres Gaistal, Oberes Gaistal, Aschenhütte und Zieflensberg haben insgesamt knapp 1000 Einwohner. Im Gaistal bestand seit dem Mittelalter ein Viehhof des Klosters. Erst nach der Gründung einer Glashütte im Jahr 1703 wurde das Tal weiter besiedelt.

Bad Herrenalb ist eine Kurstadt mit etwa 7500 Einwohnern im baden-württembergischen Landkreis Calw. Die aus einem Kloster hervorgegangene Kleinstadt liegt im nördlichen Schwarzwald im oberen Tal des Flusses Alb.

Bad Herrenalb besitzt die Besonderheit, dass der Ort in zwei Verkehrsverbünden liegt, der wichtigere und seit 1994 bestehende Verkehrsverbund ist jener aus Karlsruhe. Seit 1998 gehört Bad Herrenalb zusätzlich zur Verkehrsgesellschaft Bäderkreis Calw, dies ist mit der Zugehörigkeit zum Landkreis Calw zu begründen. Der Tarif der VGC findet innerhalb des Ortes keine Anwendung, in den Bussen und Bahnen sind dafür auch keine Fahrkarten erhältlich, mit Ausnahme der Linien 716, 719, (723), die in den Kreis Calw führen. Des Weiteren ist Bad Herrenalb über Buslinien mit Pforzheim (716), Baden-Baden (244), Bad Wildbad (719) und dem Gaistal (116) verbunden. Bis Januar 2008 gab es in Bad Herrenalb einen Gästebus (ex. 111), der aus Kostengründen und wegen mangelnder Nachfrage eingestellt wurde. Er wurde von der AVG gefahren. Die meisten Linien fahren unter der Woche im Stundentakt, zu Spitzenzeiten teilweise sogar öfter bzw. mehrere Linien ergänzen sich zu einem dichteren Takt (716 und 719), am Wochenende wird meist nur ein Zweistundentakt angeboten. Bis zum September 2011 wurde unter der Woche auf der Linie 244 ein ganztägiger Stundentakt angeboten, der jedoch aufgrund geänderter Finanzierungsvereinbarungen am Vormittag auf zwei wichtige Schulfahrten reduziert wurde. Zum Dezember 2012 wurde der Verkehr der Linien 113 und 116 ausgeschrieben sowie die Finanzierung geändert. Daher kam es zu einer deutlichen Reduzierung des Verkehrsangebotes, sodass seitdem täglich nur noch im Zweistundentakt mit einzelnen Verdichtern gefahren wird. Mit dem Fahrplanwechsel 2013/2014 entfielen am Wochenende sämtliche Fahrten der Linie 719, da die Leistungen der eingebundenen Linie 723 erheblich gekürzt wurden. Zum 1. September 2015 wurde der Verkehr am Wochenende im Zweistundentakt wieder aufgenommen. Die Linien 113 und 116 erfuhren eine schrittweise Verbesserung im Dezember 2014 und November 2015.","** Balkon
** ruhige Lage
** Zentralheizung ÖL
** WC
** Laminatböden - Fliesen 
** Neuwertige Kunststofffenster
** Gr. Hinterhof
** DSL Anschluss und Netzwerk vorhanden
** Garagenstellplatz
** Separater Eingang
** Garten zum mitbenutzen"
https://www.immobilienscout24.de/expose/120962433#/,Zentral gelegene 1- Zimmer Wohnung in Mannheim - Vogelstang," Sachsenstraße 101,","68309 Mannheim, Vogelstang",Herr Jens Knobloch,['06224 9023650'],['0176 34481454'],[], 99.000 € ,, 1 ," 29,29 m² ","['Personenaufzug', 'Balkon/ Terrasse', 'Keller']", Etagenwohnung ,2,4, 1 ,5 % zzgl. MwSt., 148 € ,1992, Gepflegt , Fernwärme ,,"So lebt es sich in Vogelstang

Vogelstang: Trabantenstadt mit Seenlandschaft im Osten

Dass die Großwohnsieldung Vogelstang auf dem Reizbrett geplant wurde, ist nicht zu übersehen: So genannte ""Stichstraßen"" durchziehen Vogelstang und auf der einen Seite findet man schöne Einfamilienhäuser mit einem ansprechenden Naherholungsgebiet, während auf der anderen Seite die tristen Hochhausreihen stehen.

Impressionen des Wohngebiets

Bereits auf der Zufahrtsstraße nach Vogelstang fallen die Fassaden der Hochhäuser ins Auge. Typische Bauten der 1960er Jahre, wie man sie auch aus anderen Städten kennt, ragen immer wieder neben kurzen Straßenzügen mit Ein- und Mehrfamilienhäusern auf. Das Zentrum des Stadtteils bilden kaum farblich akzentuierte Wohn- und Hochhäuser die um ein kleines Einkaufszentrum in der Mitte positioniert sind. 

Die Einkaufsmöglichkeiten beschränken sich neben kleineren Fachgeschäften und Supermärkten auf das örtliche Einkaufszentrum.

Verkehrsanbindung

Am östlichen Stadtteilrand führt die Autobahn A 6 vorbei und trifft nach kurzer Wegstrecke auf das Viernheimer Kreuz. Als Zufahrtsstraße zum Autobahnkreuz kann die Bundesstraße B 38 genutzt werden. Im freundlichen 10-Minuten-Takt fährt die Straßenbahnlinie 4, aus Ludwigshafen kommend, weiter über die Mannheimer Innenstadt, nach Vogelstang und weiter nach Heddesheim. Vogelstang wird darüber hinaus auch von der Straßenbahnlinie 7 angefahren. Das Zentrum Vogelstangs wird außerdem noch von der Buslinie 54 angefahren.

Naherholungsgebiete

Mit den Vogelstang Seen besitzt der Stadtteil ein weitläufiges Naherholungsgebiet. Genauer handelt es sich um zwei Seen, die durch ein kleines Verbindungsstück miteinander verschmelzen. Die Seen-Landschaft ist beliebt bei Joggern, Radfahrern und Spaziergängern. Wer es naturverbundener mag, der kann in den Käfertaler Wald oder die Viernheimer Heide fahren, dessen Ausläufer an Vogelstang heranreichen.

Vogelsang ist ein Stadtteil der Extreme. Mit den Vogelstang Seen und der Nähe zum Käfertaler Wald und der Viernheimer Heide verfügt der Stadtteil jedoch über ausgezeichnete Naherholungsmöglichkeit bei ebenso guter Verkehrsanbindung.","So lebt es sich in Vogelstang

Vogelstang: Trabantenstadt mit Seenlandschaft im Osten

Dass die Großwohnsieldung Vogelstang auf dem Reizbrett geplant wurde, ist nicht zu übersehen: So genannte ""Stichstraßen"" durchziehen Vogelstang und auf der einen Seite findet man schöne Einfamilienhäuser mit einem ansprechenden Naherholungsgebiet, während auf der anderen Seite die tristen Hochhausreihen stehen.

Impressionen des Wohngebiets

Bereits auf der Zufahrtsstraße nach Vogelstang fallen die Fassaden der Hochhäuser ins Auge. Typische Bauten der 1960er Jahre, wie man sie auch aus anderen Städten kennt, ragen immer wieder neben kurzen Straßenzügen mit Ein- und Mehrfamilienhäusern auf. Das Zentrum des Stadtteils bilden kaum farblich akzentuierte Wohn- und Hochhäuser die um ein kleines Einkaufszentrum in der Mitte positioniert sind. 

Die Einkaufsmöglichkeiten beschränken sich neben kleineren Fachgeschäften und Supermärkten auf das örtliche Einkaufszentrum.

Verkehrsanbindung

Am östlichen Stadtteilrand führt die Autobahn A 6 vorbei und trifft nach kurzer Wegstrecke auf das Viernheimer Kreuz. Als Zufahrtsstraße zum Autobahnkreuz kann die Bundesstraße B 38 genutzt werden. Im freundlichen 10-Minuten-Takt fährt die Straßenbahnlinie 4, aus Ludwigshafen kommend, weiter über die Mannheimer Innenstadt, nach Vogelstang und weiter nach Heddesheim. Vogelstang wird darüber hinaus auch von der Straßenbahnlinie 7 angefahren. Das Zentrum Vogelstangs wird außerdem noch von der Buslinie 54 angefahren.

Naherholungsgebiete

Mit den Vogelstang Seen besitzt der Stadtteil ein weitläufiges Naherholungsgebiet. Genauer handelt es sich um zwei Seen, die durch ein kleines Verbindungsstück miteinander verschmelzen. Die Seen-Landschaft ist beliebt bei Joggern, Radfahrern und Spaziergängern. Wer es naturverbundener mag, der kann in den Käfertaler Wald oder die Viernheimer Heide fahren, dessen Ausläufer an Vogelstang heranreichen.

Vogelsang ist ein Stadtteil der Extreme. Mit den Vogelstang Seen und der Nähe zum Käfertaler Wald und der Viernheimer Heide verfügt der Stadtteil jedoch über ausgezeichnete Naherholungsmöglichkeit bei ebenso guter Verkehrsanbindung."
https://www.immobilienscout24.de/expose/120833127#/,"Schicke 3-Zi. Wohnung mit Balkon, Keller und Tiefgaragenstellplatz!",,"74523 Schwäbisch Hall, Schwäbisch Hall (Kreis)",Frau Nadja Rieg,['0711 40054447'],['0176 25521766'],['0711 40054433'], 149.000 € ,, 3 , 52 m² ,['Einbauküche'],,0,0, 2 ,"4,64 % vom Kaufpreis inkl. gesetzl. MwSt.",,1991, Gepflegt , Fernwärme , E ,"Schwäbisch Hall ist eine Stadt im fränkisch geprägten Nordosten Baden-Württembergs etwa 37 km östlich von Heilbronn und 60 km nordöstlich von Stuttgart. Sie ist der Kreissitz und die größte Stadt des Landkreises Schwäbisch Hall und bildet ein Mittelzentrum in der Region Heilbronn-Franken.

Die infrastrukturellen Einrichtungen wie Ladengeschäfte für den täglichen Bedarf, Lebensmittelmärkte, Apotheken, Banken, Kindergärten sowie eine Busanbindung sind in unmittelbarer Umgebung vorhanden.","- Heller und großzügiger Wohn- Essbereich
- Südost - Balkon
- Tageslichtbad 
- Tiefgarage
- Kellerraum
- Gepflegtes Mehrfamilienhaus
- Bodenbeläge: Laminat, Fliesen"
https://www.immobilienscout24.de/expose/120494727#/,"Kapitalanlage, Ferienwohnung, Pension: Appartement NR.2 | 24,50 qm am Fuß der schwäbischen Alb",,"72574 Bad Urach, Reutlingen (Kreis)",Herr Marvin Länge,['0176 70747566'],['0176 70747566'],[], 72.500 € ,, 1 ," 24,5 m² ",['Balkon/ Terrasse'], Etagenwohnung ,0,0, 1 ,"4,64 % inklusive Mwst",,, Gepflegt ,,,"Die Wohnung befindet sich im bekannten Hotel Graf Quellenhof bei den Thermen. 
Sie geniessen einen wundervollen Ausblick und wohnen in ruhiger Lage. 

Bad Urach ist eine Stadt am Fuße der Schwäbischen Alb im Landkreis Reutlingen in Baden-Württemberg. 
Bad Urach ist mit seiner gesamten Gemarkung Teil des Biosphärengebiets Schwäbische Alb. 

Die Bundesstraße 28 führt durch die Stadt und verbindet sie im Westen mit Reutlingen und Tübingen und im Osten mit Ulm. Die B 465 führt von Bad Urach aus über die Schwäbische Alb nach Ehingen und Biberach.

Die Ermstalbahn verbindet Bad Urach über Metzingen, wo Anschluss an die Eisenbahnlinie Tübingen–Stuttgart besteht, direkt mit Reutlingen, Tübingen und Herrenberg. 

Sehr gute Infrastruktur vor Ort !","- Zentralheizung
- Einbauküche
- Badezimmer mit Dusche, Waschbecken und WC
- Kabelanschluss 
- Terrasse"
https://www.immobilienscout24.de/expose/120492303#/,"Kapitalanlage, Ferienwohnung, Pension: Appartement NR.3 | 29,40 qm am Fuß der schwäbischen Alb",,"72574 Bad Urach, Reutlingen (Kreis)",Herr Marvin Länge,['0176 70747566'],['0176 70747566'],[], 75.000 € ,, 1 ," 29,4 m² ",['Balkon/ Terrasse'], Etagenwohnung ,0,0, 1 ,"4,64 % inklusive Mwst.",,, Gepflegt ,,,"Die Wohnung befindet sich im bekannten Hotel Graf Quellenhof bei den Thermen. 
Sie geniessen einen wundervollen Ausblick und wohnen in ruhiger Lage. 

Bad Urach ist eine Stadt am Fuße der Schwäbischen Alb im Landkreis Reutlingen in Baden-Württemberg. 
Bad Urach ist mit seiner gesamten Gemarkung Teil des Biosphärengebiets Schwäbische Alb. 

Die Bundesstraße 28 führt durch die Stadt und verbindet sie im Westen mit Reutlingen und Tübingen und im Osten mit Ulm. Die B 465 führt von Bad Urach aus über die Schwäbische Alb nach Ehingen und Biberach.

Die Ermstalbahn verbindet Bad Urach über Metzingen, wo Anschluss an die Eisenbahnlinie Tübingen–Stuttgart besteht, direkt mit Reutlingen, Tübingen und Herrenberg. 

Sehr gute Infrastruktur vor Ort !","- Zentralheizung
- Einbauküche
- Badezimmer mit Dusche, Waschbecken und WC
- Kabelanschluss 
- Terrasse"
