url,title,address,region,contact_person,telephone,mobile,fax,price_purchase,estimated_monthly_rate,rooms,living_area_m2,furnishing,flat_type,floor,floor_total,bedrooms,commission_buyer_rate,maintenance_cost,construction_year,object_state,heating_type,energy_efficiency_class,location,other_information
https://www.immobilienscout24.de/expose/120330927#/,Frisch renovierte 3 Zimmer Wohnung mit Balkon,,"64839 Münster, Darmstadt-Dieburg (Kreis)",,['06104 9722362'],[],[], 139.900 € ,, 3 , 54 m² ,"['Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Provisionsfrei']", Dachgeschoss ,2,2, 2 ,Nein, 190 € ,1979, Vollständig renoviert , Zentralheizung ,,"Münster liegt im Süden von Hessen, etwa 20 km östlich von Darmstadt. In
ca. 15 Autominuten erreichen Sie die Autobahn A3 (Köln Würzburg)
und in weiteren 20 Autominuten das Frankfurter Kreuz / den
FrankfurterFlughafen.
Münster liegt an der Dreieichbahn (Frankfurt / Dreieich /
Buchschlag / Rödermark / OberRoden- Dieburg). Zudem verkehren ab
Münster die Buslinien 679, 674 in Richtung Rödermark, Dieburg,
Reinheim und die Buslinien 684 und 674 (über Dieburg) nach Darmstadt.
Münster, eine vielseitige Gemeinde mit etwa 15.000 Einwohnern, liegt
ideal im Herzen des RheinMain Gebietes. Durch seine zentrale Lage
zwischen den Städten Darmstadt, Aschaffenburg und Frankfurt hat es
eine Infrastruktur, die ihresgleichen sucht. Dadurch zieht Münster viele
junge Familien an, die in den großen Städten arbeiten und eine ruhige und
attraktive Gemeinde zum Wohnen suchen. Ausschlaggebend ist dabei,
dass Münster sich insbesondere durch sein breit aufgestelltes Freizeitund
Familienangebot auszeichnet. Die Lebensbedingungen, gerade für
junge Familien aber auch Menschen mittleren Alters und Senioren, sind in
Münster etwas ganz besonderes, weil die Einwohner nicht nur alles
Lebensnotwendige direkt vor Ort finden, sondern darüber hinaus über
zahlreiche interessante Kultur und Freizeitangebote verfügen können.
Infrastruktur (im Umkreis von 5 km):
Apotheke, Lebensmittel-Discount, Allgemeinmediziner, Kindergarten, Grundschule, Hauptschule, Realschule, Gymnasium, Gesamtschule, Öffentliche Verkehrsmittel","Balkon, Keller, Vollbad, Einbauküche, Laminat, Fliesen"
https://www.immobilienscout24.de/expose/117200051#/,"Ruhige, schön geschnittene und vollmöblierte Eigentumswohnung mit Balkon"," Lessingstraße 1,","64331 Weiterstadt, Darmstadt-Dieburg (Kreis)",,[],['0173 2022407'],[], 125.000 € ,, 2 ," 46,7 m² ","['Personenaufzug', 'Balkon/ Terrasse', 'Einbauküche']", Etagenwohnung ,4,8, 1 ,"5,8 % Käuferprovision inkl. 16 % MwSt", 370 € ,1970, Gepflegt , Zentralheizung ,,Das Objekt liegt am Rande einer schönen und ruhigen Wohnsiedlung. Die angrenzeden Felder laden zu ausgedehnten Spaziergängen ein..,"Das Objekt ist sehr gepflegt und hat einen schönen Laminatboder. Die hellen Räume sind gut zugeschnitten, sodass man ein gutes Platzangebot hat. Bad und Küche sind modern gefliest. Der kleine Balkon liegt im Süden und ist für zwei Personen voll ausreichend. Die komplette Wohnung wird möbliert verkauft, inkl aller technischen Gerätr."
https://www.immobilienscout24.de/expose/119530421#/,Babenhausen - 3 Zimmer Dachgeschosswohnung mit viel Potential,,"64832 Babenhausen, Darmstadt-Dieburg (Kreis)",,['069 217250022'],[],[], 129.000 € ,, 3 , 53 m² ,['Keller'], Dachgeschoss ,3,3,,"5,80% des Kaufpreises inkl. MwSt.", 222 € ,1971,, Öl-Heizung , D ,"Babenhausen mit seinen fünf Stadtteilen, Hergershausen, Sickenhofen, Harreshausen, Langstadt und Harpertshausen ist eine geschichtsträchtige Kleinstadt, der bereits 1295 von König Adolf von Nassau das Stadtrecht verliehen wurde. Viele Zeugen der Vergangenheit dokumentieren die Tradition dieser gemütlichen Stadt. Die reizvollen Fachwerkhäuser und die ehemalige Stadtbefestigung lassen vor Ihren Augen das Bild einer mittelalterlichen Stadt erscheinen.

In der historischen Altstadt mit Fußgängerzonen und Einkaufsstraße finden Sie buntes quirliges, pulsierendes Leben mit Ruhezonen, das Rathaus und den historischen Marktplatz mit liebevoll restaurierten Fachwerkhäusern. Internationale gastronomische Angebote mit Biergärten und anspruchsvollen Restaurants, Bistros bieten Leben im Herz von Babenhausen bis in die späten Abendstunden. Donnerstags sollten Sie sich einmal das bunte Treiben vor der Stadthalle ansehen.

Babenhausen hat hervorragende Verkehrsanbindungen, per Bahn in alle Richtungen, ob nach Darmstadt, Hanau, Frankfurt oder Aschaffenburg. 

Babenhausen ist von ausgedehnten Wäldern umgeben. Die Nähe des Odenwaldes und des Spessarts bietet viele leicht erreichbare Ausflugsziele. Moderne Sport- und Schwimmbadanlagen, Radwanderwege, Tennishalle, markierte Wanderwege, Waldsportpfad. Selbstverständlich sind alle Schulen, Kindergärten und Ärzte vor Ort und bequem zu erreichen.
",
https://www.immobilienscout24.de/expose/121042598#/,Anlageobjekt: 1-Zimmer Eigentumswohnung mit Tiefgaragenstellplatz in 1A Lage von Griesheim/Darmstadt,,"64347 Griesheim, Darmstadt-Dieburg (Kreis)",,['06258 8335656'],[],[], 80.000 € ,, 1 , 20 m² ,"['Personenaufzug', 'Keller', 'Vermietet']", Sonstige ,5,0,,Die Maklerprovision beträgt für Sie 5% + MwSt., 120 € ,1996, Gepflegt , Gas-Heizung , D ,"Das Appartment in Griesheim liegen nur wenige Gehminuten zum S-Bahnanschluss nach Darmstadt. Die Hochschule sowie die Universität sind auch mit dem Fahrrad gut zu erreichen. Griesheim hat die optimale Lage zwischen den Ballungszentren Rhein-Main und Rhein-Neckar. Durch die Nähe zu den Autobahnanschlüssen A67 und A5 gelangen Sie innerhalb von 30-40 Minuten nach Frankfurt/Mainz/Wiesbaden oder Mannheim/Heidelberg. Außerdem verfügt Griesheim über eine gute Anbindung an den öffentlichen Personennahverkehr, wodurch Sie mittels Straßenbahn nach Darmstadt sowie mit Bus oder Bahn jederzeit auch nach Frankfurt, Mannheim gelangen können.","Das Appartment in Griesheim liegen nur wenige Gehminuten zum S-Bahnanschluss nach Darmstadt. Die Hochschule sowie die Universität sind auch mit dem Fahrrad gut zu erreichen. Griesheim hat die optimale Lage zwischen den Ballungszentren Rhein-Main und Rhein-Neckar. Durch die Nähe zu den Autobahnanschlüssen A67 und A5 gelangen Sie innerhalb von 30-40 Minuten nach Frankfurt/Mainz/Wiesbaden oder Mannheim/Heidelberg. Außerdem verfügt Griesheim über eine gute Anbindung an den öffentlichen Personennahverkehr, wodurch Sie mittels Straßenbahn nach Darmstadt sowie mit Bus oder Bahn jederzeit auch nach Frankfurt, Mannheim gelangen können."
https://www.immobilienscout24.de/expose/121015706#/,"Reifferscheid - Süße Wohnung mit großem, überdachtem Westbalkon und bodentiefer Verglasung",,"64342 Seeheim-Jugenheim, Darmstadt-Dieburg (Kreis)",,['06151 9696906'],['0172 6838929'],['06151 9696908'], 80.000 € ,, 1 ," 33,75 m² ","['Balkon/ Terrasse', 'Garten/ -mitbenutzung', 'Keller', 'Vermietet']", Etagenwohnung ,0,0,,"5,8 % inkl. ges. MwSt.", 131 € ,1970,, Zentralheizung , D ,"In sehr ruhiger Lage von Seeheim an der Bergstraße liegt dieses kleine Apartment, um Sie herum überwiegend gepflegte Mehrfamilienhausbebauung. Sie leben hier sicher, ruhig, naturnah und dennoch mitten im Leben und der Kultur dreier großer Städte (Frankfurt, Heidelberg, Mannheim).

Seeheim ist eine eigenständige Gemeinde an der Bergstraße im Süden von Hessen mit ca. 17.000 Einwohnern. Die Bergstraße gilt als eine der wärmsten Regionen in Deutschland. Hier können Sie jährlich überdurchschnittlich viele Sonnenstunden genießen. 

Frankfurt a. Main liegt nur ca. 33 Autominuten entfernt (ca. 44 km bis Frankfurt Opernplatz). Der internationale Flughafen Frankfurt Main ist in ca. 23 Minuten erreichbar. Nach Heidelberg sind es lediglich ca. 55 km und nach Mannheim nur ca. 51 km. Alle drei Städte erreichen Sie über die A5. Seeheim hat einen eigenen Autobahnanschluß zur A5 in ca. 2,2 km Entfernung. Ebenso einen Straßenbahnanschluß mit direkter Verbindung (Linie 8 und 6 ca. 1.000 Meter entfernt) nach Darmstadt Zentrum. 

Für die Bildungsversorgung Ihrer Kinder finden Sie die denkbar besten Bedingungen. Direkt in Laufweite des Hauses in Seeheim-Jugenheim befindet sich die deutschlandweit bekannte, staatliche, internationale, englischsprachige Schule. Für die jüngeren Kinder steht eine private englischsprachige Preschool zur Verfügung. In unmittelbarer Nähe zum Haus, in Seeheim, finden Sie zusätzlich zwei Kindergärten, zwei Grundschulen und die erste Gesamtschule Deutschlands ""Schuldorf Bergstraße"". Das Schuldorf ist unter anderem bekannt für seine vom Kultusministerium ausgezeichnete Ganztagsbetreuung. Die Betreuung in der Zeit zwischen 7:30 Uhr und 17:30 Uhr findet regen Zuspruch.

Nahezu sämtliche Güter des täglichen Bedarfs bekommen Sie in der nahen Umgebung nur ca. 500 m vom Haus entfernt.","•	1 Zimmer
•	Badezimmer mit Waschtisch, WC, Dusche
•	Abstellkammer
•	Echtholzparkett im Wohnraum
•	Fliesen und PVC Boden im Badezimmer
•	Einfachverglaste Fenster
•	Überdachter, großer Balkon mit Blick in den Hausgarten
•	Erdgaszentralheizung mit Heizkörpern
•	Das Warmwasser wird dezentral erzeugt
•	Kellerraum
•	Ein Außenstellplatz ist im Kaufpreis enthalten
•	Hausgeldzahlung monatlich 131,- €
•	Ca. 33,75 m² Wohnfläche
•	Ca. 7,56 m² Nutzfläche"
https://www.immobilienscout24.de/expose/120208530#/,"Etagenwohnung in 64342 Seeheim-Jugenheim, Am Grundweg",,"64342 Seeheim-Jugenheim, Darmstadt-Dieburg (Kreis)",,['02102 711711'],[],['02102 711719'], 89.500 € ,, 4 , 87 m² ,"['Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Provisionsfrei']", Etagenwohnung ,2,0,,,,1971,,,,,"Die Versteigerung findet am zuständigen Amtsgericht statt. Der ausgewiesene Kaufpreis ist der Verkehrswert. Dieser wurde vom Gericht aufgrund eines vom amtlich bestellten Sachverständigen erstellten Gutachtens festgesetzt.
Ein Zuschlag ist gegebenenfalls schon ab 50% (bei Zweitterminen auch darunter) des Verkehrswertes möglich. Zudem entfallen für Sie die Makler- und Notarkosten, die je nach Bundesland bis zu 8,5% ausmachen können.
Dies ist eine von bundesweit über 80.000 Immobilien, die wir in unserem monatlich erscheinenden Versteigerungskalender schon ab 99,--€ für 3 Monate veröffentlichen. Zudem erhalten Sie bei uns einen Onlinezugang, mit dem Sie bis zu einem Jahr im Voraus Zwangsversteigerungsangebote sehen, die uns schon bekannt sind. Damit haben Sie zusätzlich die Chance bereits im Vorfeld einer Versteigerung mit dem Gläubiger in Kontakt zu treten. Eventuell können Sie die Immobilie auch vor der Versteigerung kaufen und haben damit Ihr Ziel noch schneller erreicht.
Bei weiteren Fragen rufen Sie uns gerne an. Wir sind telefonisch für Sie von Montags bis freitags von 9.00 - 20.00 Uhr und samstags von 10.00 - 16.00 Uhr unter 02102-711711 erreichbar.
Seit über 30 Jahren sind wir der führende Informationsdienst für Zwangsversteigerungen. Unser Know How, die Daten bundesweit komplett zu recherchieren, kommt unseren Kunden zu Gute, da keine Versteigerung verpasst wird. Sie finden alle Versteigerungstermine und die relevanten Daten zu den einzelnen Häusern, Mehrfamilienhäusern, Wohnungen, Grundstücken sowie Gewerbeobjekten und landwirtschaftlichen Immobilien. Die Daten und die ggf. vorliegenden Exposés oder amtlichen / von Gerichten zur Verfügung gestellten Gutachten wurden von uns nicht auf Richtigkeit geprüft. Eine Haftung ist deshalb ausgeschlossen. Irrtum oder Zwischenverkauf vorbehalten.
Ein Energieausweis liegt z.Z. nicht vor und ist im Zuge des Erwerbs in der Zwangsversteigerung nicht erforderlich."
https://www.immobilienscout24.de/expose/119626134#/,"Solide, renovierte Kapitalanlage in Babenhausen!",,"64832 Babenhausen, Darmstadt-Dieburg (Kreis)",,['069 26493710'],[],['069 264937111'], 115.000 € ,, 2 , 55 m² ,"['Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Vermietet']", Etagenwohnung ,2,4, 1 ,"5,95% inkl. MwSt.", 260 € ,1966, Gepflegt , Zentralheizung ,,"Diese Kapitalanlage befindet sich in Babenhausen. Einkaufsmöglichkeiten, Ärzte, Apotheken und Schulen befinden sich in unmittelbarer Nähe. Die Anbindung auf die A45 ist innerhalb von ca. 5 Autominuten erreichbar. Frankfurt am Main erreichen Sie innerhalb von ca. 30 Autominuten.","- Balkon
- Einbauküche mit Elektrogeräten
- Innenliegendes Badezimmer
- Abstellraum
- Kellerabteil
- Gemeinschaftlicher Waschraum
- Fahrradraum
- Gemeinschaftliche Gartennutzung
- Optional: vermietete Garage (€ 10.000,--)
- Mieteinnahmen Garage: € 660,-- (jährlich)
- Mieteinnahmen Wohnung: € 5.520,-- (jährlich)
- Mieteinnahmen gesamt: € 6.180,-- (jährlich)"
https://www.immobilienscout24.de/expose/117262383#/,Vermietete 2 Zimmer-ETW in Schneppenhausen...2 Balkone...Einbauküche...Duschbad...,,"64331 Weiterstadt, Darmstadt-Dieburg (Kreis)",,['06150 5417177'],[],['06150 5417188'], 115.000 € ,, 2 , 65 m² ,"['Personenaufzug', 'Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Stufenloser Zugang', 'Vermietet']", Etagenwohnung ,3,8, 1 ,"5,95% vom Kaufpreis inklusive Mehrsteuer", 440 € ,unbekannt, Saniert , Zentralheizung , D ,Weiterstadt-Schneppenhausen,"Laminatboden
Einbauküche inklusive
Einbauschränke (Flur und Schlafzimmer) inkl.
2 Balkone
Aufzug
Kellerabteil
komplette Möblierung ist im Kaufpreis enthalten!"
https://www.immobilienscout24.de/expose/118792556#/,*Vermietete Erdgeschosswohnung in guter Lage!*,,"64823 Groß-Umstadt / Wiebelsbach, Groß-Umstadt",,['0173 5453450'],['0173 5453450'],[], 149.900 € ,, 4 ," 79,5 m² ","['Balkon/ Terrasse', 'Vermietet']", Erdgeschosswohnung ,0,0, 3 ,"5,99 % inkl. MwSt.", 175 € ,1939, Gepflegt , Zentralheizung ,,"Die Immobilie befindet sich in Wiebelsbach, einem Stadtteil von Groß-Umstadt.

Sämtliche Einkaufsmöglichkeiten, Schulen, Kindergärten, Banken, Apotheken, Ärzte und öffentliche Einrichtungen sind in unmittelbarer Nähe.

Bus- und Bahnanbindung sind direkt vor der Tür.","Wie folgt teilt sich die Wohnung auf:

- Flur
- Badezimmer mit Tageslicht
- Küche
- 3 Schlafräume
- Wohnzimmer

Zudem gehört ein großer Kellerraum sowie ein Raum im Dachgeschoss zu der Wohneinheit.
Ebenfalls finden Sie einen Stellplatz vor dem Haus vor und ein Nebengebäude in welchen weiterer Stauraum für die Wohnung ist."
https://www.immobilienscout24.de/expose/119153971#/,"KAPITALANLAGE - möbliertes 2-Zimmer-Apartment, zentrale Lage, vollausgestattet - Rendite 4%"," Schulstraße 2 A,","65456 Raunheim, Groß-Gerau (Kreis)",,['06022 2646200'],['0171 2220055'],['06022 2646219'], 128.600 € ,, 1 ," 31,73 m² ","['Online-Besichtigung möglich', 'Balkon/ Terrasse', 'Einbauküche', 'Vermietet']", Dachgeschoss ,3,3, 1 ,"3,57% inkl. MwSt. Maklercourtage", 0 € ,2014, Neuwertig ,,,"Spitzenmässig, zentral im Innenstadtbereich gelegen, nahe am Main und alles fußläufig erreichbar. Durch direkter Bushaltestelle vor dem Objekt immer gut zu vermieten, aber darum müssen Sie sich ja keine Sorgen machen.",
