url,title,address,region,contact_person,telephone,mobile,fax,price_purchase,estimated_monthly_rate,rooms,living_area_m2,furnishing,flat_type,floor,floor_total,bedrooms,commission_buyer_rate,maintenance_cost,construction_year,object_state,heating_type,energy_efficiency_class,location,other_information
https://www.immobilienscout24.de/expose/116942625#/,"Top -Lage - 1 Zim.-App. als Kapitalanlage oder noch Selbstbezug möglich - direkte OEG, Bahnhof, etc."," Neckarauer Straße 23,","68199 Mannheim, Neckarau","Frau Melanie Höll, Immobilien",['06322 988837'],['0173 3603065'],['06322 988839'], 88.000 € ,, 1 ," 20,77 m² ","['Personenaufzug', 'Einbauküche', 'Keller', 'Stufenloser Zugang']", Etagenwohnung ,2,6,,"4,76 % Käuferprovision vom Kaufpreis", 115 € ,1995, Modernisiert , Fernwärme , D ,"Das Appartmenthaus liegt am Rande des gewachsenen Stadtteils Neckarau 
mit sehr guten Verkehrsanschlüssen.
:
Bundesbahnstation Mannheim-Neckarau, gegenüber dem Appartmenthaus liegend,
Haltestellen Straßenbahn- und Omnibuslinien
, 
Bundesautobahn-Anschlüsse Mannheim-Mitte und Mannheim-Rheinau, 
Zufahrt zu Bundesstraßen (B 36,B 37, und B 38) besteht.

Zur Stadtmitte Mannheim ca. 3,5 km, direkte Verbindung nach Heidelberg  (18 km ),
Schwetzingen (12 km), Speyer (20 km) und Karlsruhe (55 km über Schnellstraße B 36).
 
Das Haus liegt in der Nähe zur Fachhochschule für Technik (ca. 1.5 km entfernt).

Nahezu alle Versorgungs-, Bildungs- und Freizeiteinrichtungen sind im Stadtteil Neckarau, Stadtgebiet Mannheim und in der Region gegeben.","Neue stabile Eingangstür weiß mit Türspion, 
Laminatfußboden, Singel-Küche, Küchenhängeschrank (weiß).
Das Duschbad wurde 2019 modernisiert, neu ausgestattet (Eckduschkabine), neuer Waschbeckenunterschrank weiß, Toilettendeckel .
Fenster 2 Flügel Kunstoff weiß,
TV-Kabelanschluss mit Eingangstür Kamerabild."
https://www.immobilienscout24.de/expose/115948723#/,Helle und gepflegte 1-Zimmer Dachgeschosswohnung,,"68199 Mannheim, Lindenhof",Frau W. Bochenek,[],['0176 82700098'],[], 129.500 € ,, 1 , 35 m² ,"['Einbauküche', 'Keller']",,3,3, 1 ,"4,76 %",,1998, Gepflegt , Zentralheizung , C ,Die Wohnung liegt im beliebten Stadtteil Neckarau unweit des Badesees Stollenwörthweiher und des Waldparks. Einkaufsmöglichkeiten und Tramhaltestellen sind gut zu Fuß zu erreichen. Die Tram 3 in Richtung Sandhofen fährt alle 10 Minuten und ist innerhalb von 13 Minuten am Hauptbahnhof. Von hier haben Sie eine sehr gute Zuganbindung. Falls Sie mit dem Auto unterwegs sind erreichen Sie die Autobahn 6 in 8 km.,
https://www.immobilienscout24.de/expose/115642755#/,Appartement in der Nähe vom Rheinauer See in Mannheim!," Perreystr 24-26,","68219 Mannheim, Rheinau",Frau Dipl.-Ing. Edina Osmanovic,[],['0176 34789996'],['0621 1247410'], 99.000 € ,, 1 ," 33,14 m² ","['Balkon/ Terrasse', 'Keller', 'Vermietet']", Dachgeschoss ,0,0,,"5,8 % inkl. 16 % MwSt.",,1990, Gepflegt , Fernwärme ,,"Perreystr. 24-26 68219 Mannheim
Vor Ort: Rheinauer See, Autobahnanbindung, Bussanbindung, Einkaufsmöglichkeiten, etc.","Loggia;
Kellerverschlag (wird mit einem Appartement geteilt);
TG-Stellplatz (wird zu 50 % geteilt);
Laminat (gehört dem Mieter, da es durch den Mieter eingebaut wurde);
Holztüre;
doppeltverglaste Holzfenster und
Dusche."
https://www.immobilienscout24.de/expose/109593788#/,**KAPITALANLEGER AUFGEPASST! Gemütliche 2 ZKB + 2 Balkone / MA-Rheinau**,,"68219 Mannheim, Rheinau",Frau Tülay Öc,[],['0179 7941855'],['0621 180681759'], 115.000 € ,, 2 , 49 m² ,"['Balkon/ Terrasse', 'Keller', 'Vermietet']", Etagenwohnung ,4,5, 1 ,"3,57% vom Kaufpreis inkl.19% MwSt.", 170 € ,1960, Gepflegt , Ofenheizung ,,"MA-Rheinau
Vollkommende Infrastruktur mit allen Einkaufsmöglichkeiten (Penny, Lidl, Rossmann, REWE) für den täglichen Bedarf, sowie öffentliche Verkehrsmittel wenigen Gehminuten entfernt.","MA-Rheinau
Vollkommende Infrastruktur mit allen Einkaufsmöglichkeiten (Penny, Lidl, Rossmann, REWE) für den täglichen Bedarf, sowie öffentliche Verkehrsmittel wenigen Gehminuten entfernt."
https://www.immobilienscout24.de/expose/119919400#/,Gemütliche 2-Zimmer-Wohnung!,,"74927 Eschelbronn, Rhein-Neckar-Kreis",Frau Dipl.-Wi.Jur. Meric Yildiz-Islak,['0160 2287685'],[],['032 121114564'], 115.000 € ,, 2 , 60 m² ,[], Etagenwohnung ,0,0,,"3,48% inklusive Mehrwertsteuer vom Käufer zu zahlen",,,,,,,"Folgene Eigenschaften runden das Angbot ab:

Bad mit Badewanne 
Kellerabteil
Gartenmitbenutzung
PKW-Stellplatz direkt vor der Haustür"
https://www.immobilienscout24.de/expose/118069570#/,***KAPITALANLÄGER AUFGEPASST - ATTRAKTIVE WOHNUNG IN SCHWETZINGEN***,,"68723 Schwetzingen, Rhein-Neckar-Kreis",Frau Susanne Nolden,['06202 1268448'],['0160 96629296'],['06202 1268450'], 148.000 € ,, 1 ," 51,33 m² ","['Balkon/ Terrasse', 'Einbauküche', 'Keller']", Etagenwohnung ,3,3, 1 ,"5,95 % incl. MwSt. Annahme durch Anfrage, fällig bei not. Kaufvertrag", 219 € ,1979, Gepflegt ,, E ,"Schwetzingen - Nordstadt - zentral gelegen. 

Die Bahnlinie führt in 150m am Feldrand entlang vorbei. 

Das schöne Schwetzinger Schloss mit seinem traumhaften Schlossgarten erreichen Sie in wenigen Minuten.  Kindergarten, Grundschulen sowie weiterführende Schulen sind sehr gut mit dem Fahrrad zu erreichen. 

Einkaufsmöglichkeiten und die öffentlichen Verkehrsanbindungen befinden sich in unmittelbarer Nähe. Zur A6 und B36 gelangen Sie mit Ihrem PKW in nur fünf Minuten.
.
.
.","***2. Obergeschoss, kein Aufzug!
***nur 10 Wohneinheiten in gepflegtem Mehrfamilienhaus 
***ansprechende Außenanlage 
***Wohnung ist nicht vermietet 
***Loggia in Süd -/ Westlage überdacht 
***Bad mit Dusche, WC und Tageslicht - Baujahr entsprechend  
***Einbauküche - moderner Stil 
***Einbauküche im Kaufpreis enthalten 
***-Cerankochfeld, Backofen, Dunstabzug, Geschirrspüler,  Waschmaschine
***Böden - Laminat und Fließen
***Türen - Holz braun, teilweise mit Glaseinsatz  
***Holzfenster vom Baujahr  
***Rollläden vorhanden
***Dachsanierung - 2016
***Balkonsanierung - 2014
***Gaszentralheizung - erneuert 2004 
***Warmwasseraufbereitung über Heizung
***Kellerraum
***Fahrradabstellraum
***Hausmeistervollservice
***1 PKW-Außenstellplatz im Preis enthalten 
***separate Wasseruhren  
***Hausgeld 219,00€, darin enthalten 60,50€ Rücklage 
***Miete netto kalt 6.120,00€ jährl./510,00€ mtl. incl. PKW-Stellplatz"
https://www.immobilienscout24.de/expose/110876731#/,Schöne 2 Zimmer Wohnung plus 2 Stellplätze in Hockenheim,,"68766 Hockenheim, Rhein-Neckar-Kreis",Frau Bähr  BAEHR-Immobilien,[],[],[], 141.000 € ,, 2 , 60 m² ,"['Keller', 'Vermietet']",,2,0, 1 ,"5,95% inkl.MwSt", 160 € ,1994, Vollständig renoviert ,,,Hockenheim ist eine Stadt im nordwestlichen von Baden-Württemberg etwa 20 km südlich von Mannheim.Sie ist die sechst größte Stadt im Rhein-Neckar-Kreis.Seid dem 1 Januar 2001 ist Hockenheim eine Groß Kreisstadt. Nachbargemeinden wie Altlußheim und Neulußheim sind zu Fuß gut und schnell zu erreichen.,"-2 Stellplätze vorhanden 
-Kunstoff Fenster vorhanden
-Bad mit Badewanne vorhanden 
-gepflegtes Mehrfamilienhaus 
-Laminatboden in der ganzen Wohnung 
-gut vermietet"
https://www.immobilienscout24.de/expose/121121726#/,Vermietet 1 Zimmer- Wohnung in zentraler Lage - Ideal für Kapitalanleger!,,"69126 Heidelberg, Südstadt",  Immobilienabteilung,['06221 514333'],[],['06221 514249'], 115.000 € ,, 1 , 23 m² ,[],,2,0,,"4,64 % inkl. MwSt", 162 € ,1984,,, F ,"Heidelberg-Südstadt

Die Südstadt schließt sich südlich an die Weststadt an. 

Sie ist eine beliebte Wohnlage, entstanden in den 20er Jahren (mit überwiegend nachfolgender Bebauung nach dem Zweiten Weltkrieg). 

Im Kernbereich der Südstadt herrschen Ein- bis Zwei- bzw. Mehrfamilienhäuser vor. Der westliche Randbereich war durch eine Wohnsiedlung der amerikanischen Streitkräfte geprägt. Bevorzugte Wohnlagen sind die Bereiche Görresstraße und Panoramastraße, welche durch sehr viel Grün und herrliche Fernsicht charakterisiert sind. 

In der Südstadt sind Gymnasium, Wirtschaftsgymnasium und ein Privatgymnasium vorhanden. 
Gute Freizeitmöglichkeiten durch Sportplatz, Tennis und Hockey sind gegeben. 

Die Erschließung durch den öffentlichen Personennahverkehr ist gut. In der nördlichen Peripherie des Stadtteils befindet sich in der angrenzenden Weststadt (im Bereich der Franz-Knauff-Straße / Handelslehranstalten) eine S-Bahn-Haltestelle der Deutschen Bahn. 

 Nach dem Abzug der amerikanischen Streitkräfte werden aus den Stützpunkten neue Konversionsflächen. Das betroffene Gebiet wird geografisch im Norden durch die Feuerbachstraße, im Osten durch die Kirchgartenstraße, im Westen vom Gewerbegebiet Bosseldorn und im Süden durch die Sickingerstraße begrenzt. Die neuen Konversionsflächen erstrecken sich insgesamt über eine Fläche von ca. 43 ha. Geplant sind ca. 1.400 Wohneinheiten mit einem heterogenen Angebot von Wohnungen. Im Süd-Westen der Konversionsflächen, dem ehemaligen Gelände der Campbell Barracks, finden sich denkmalgeschützte Rückgebäude. Hier sollen überwiegend gewerbliche Einheiten und kulturelle Einrichtungen entstehen. Die neuen Konversionsflächen in der Südstadt bieten unter anderem attraktive Nahversorgungseinrichtungen, Kindertagesstätten und Kindergärten sowie einen guten Anschluss an den öffentlichen Nahverkehr.

Wohnbevölkerung: 4.498 (aktueller Stand).
 ",
https://www.immobilienscout24.de/expose/118108113#/,"Zentrumsnahe 1 Zimmer Etagenwohnung, 42 qm mit traumhaften Ausblick in HD-Boxberg zu verkaufen"," Boxbergring 12,","69126 Heidelberg, Boxberg",Frau Tina Feindler,['06227 399170'],['0176 21169990'],['06227 3999970'], 110.000 € ,," 1,5 ", 42 m² ,['Online-Besichtigung möglich'], Etagenwohnung ,2,6,,"5,95inkl. MwSt",,1967,, Fernwärme ,,"Heidelberg ist eine Großstadt in Baden-Württemberg im Südwesten Deutschlands, unweit der Mündung des Neckars in den Rhein. Die ehemalige kurpfälzische Residenzstadt ist bekannt für ihre malerische Altstadt mit der Schlossruine sowie für ihre renommierte Universität, die älteste Hochschule auf dem Gebiet des heutigen Deutschlands. Sie zieht Wissenschaftler und
Besucher aus aller Welt an.

Mit über 150.000 Einwohnern ist Heidelberg die fünftgrößte Stadt des Bundeslandes. Sie ist Stadtkreis und zugleich Sitz des umliegenden Rhein-Neckar-Kreises. Das dicht besiedelte Rhein-Neckar-Gebiet, in dem Heidelberg gemeinsam mit den Großstädten Mannheim und Ludwigshafen liegt, wird als Metropolregion. Es gibt zahlreiche Grund-, Haupt- und Realschulen (staatlich und privat) sowie Berufs- und Sonderschulen. In Heidelberg finden sich, bedingt durch den großen Akademikeranteil an der Gesamtbevölkerung, eine hohe Zahl von Gymnasien. 2011/12 lag die Übergangsquote von der Grundschule auf ein Gymnasium bei 65 Prozent des Jahrgangs.

Heidelberg ist weit über die Region hinaus bekannt für seine Bildungseinrichtungen. Die renommierteste von ihnen ist die Ruprecht-Karls-Universität Heidelberg. Sie wurde 1386 gegründet und ist die älteste Universität auf dem Gebiet des
heutigen Deutschlands. Ihr Campus ist aufgeteilt auf zwei Stadtgebiete sowie mehrere Einzelgebäude: In zahlreichen historischen Gebäuden in der Altstadt befinden sich die Geistes-, Sozial- und Rechtswissenschaften. Die Naturwissenschaften und Medizin sind zum überwiegenden Teil auf dem neuen Campus im Neuenheimer Feld angesiedelt. 1904 wurde die Pädagogische Hochschule Heidelberg gegründet.","- Tiefgaragenplatz
- Einbauküche
- Badewanne
- Waschraum"
https://www.immobilienscout24.de/expose/117054847#/,Vermietete 1-Zimmerwohnung mit Garage & Balkon,,"69126 Heidelberg, Rohrbach",Herr Daniele De Luca,['06221 43857728'],['0176 64903423'],['06221 43857720'], 149.000 € ,, 1 , 39 m² ,"['Online-Besichtigung möglich', 'Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Vermietet']", Etagenwohnung ,1,2,,"4,76 % inkl. ges. MwSt.", 196 € ,1982, Gepflegt , Zentralheizung , C ,"Sehr ruhig und doch zentral gelegen.
Der Heidelberger Stadtteil Rohrbach, befindet sich ungefähr drei Kilometer südlich vom Stadtzentrum Heidelbergs. 
Die Straßenbahnhaltestelle, mit guten Verbindungen in das Stadtzentrum und nach Leimen, sind in wenigen Gehminuten erreicht. 
Alle Geschäfte für den tägliche Bedarf sind in unmittelbarer Nähe: Ärzte, Apotheken, Friseure,
Bäckereien, Lebensmittelmärkte sowie Kindergärten & Schulen sind fußläufig erreichbar.",
